name,datetime,tempmax,tempmin,temp,humidity,precip,precipprob,precipcover,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,uvindex,severerisk,sunrise,sunset,conditions,icon
choondacherry,01-01-2002,89.7,77.3,82.1,63.7,0,0,0,,,4.7,70,1014.2,40,,,2002-01-01T06:39:34,2002-01-01T18:13:32,Partially cloudy,partly-cloudy-day
choondacherry,02-01-2002,88.4,76.4,82.7,63.6,0,0,0,,,4.7,320,1013.5,20,,,2002-01-02T06:39:58,2002-01-02T18:14:05,Clear,clear-day
choondacherry,03-01-2002,89.7,75.3,81.6,60.8,0,0,0,,,11.4,15,1013,0,,,2002-01-03T06:40:22,2002-01-03T18:14:37,Clear,clear-day
choondacherry,04-01-2002,87.5,75.3,81.8,62.1,0,0,0,,,9.2,315.3,1012.3,3.8,,,2002-01-04T06:40:45,2002-01-04T18:15:09,Clear,clear-day
choondacherry,05-01-2002,88.4,76.4,82.8,64,0,0,0,,,9.2,285.9,1011.5,38.6,,,2002-01-05T06:41:07,2002-01-05T18:15:41,Partially cloudy,partly-cloudy-day
choondacherry,06-01-2002,89.7,78.5,83.4,67.4,0.084,100,12.5,rain,,9.2,340,1011.7,35,,,2002-01-06T06:41:28,2002-01-06T18:16:13,"Rain, Partially cloudy",rain
choondacherry,07-01-2002,86.1,79.1,82.2,75.5,0,0,0,,,11.4,281.1,1012,20,,,2002-01-07T06:41:48,2002-01-07T18:16:45,Clear,clear-day
choondacherry,08-01-2002,88.4,77.6,81.9,76.2,0,0,0,,,9.2,290,1012,18.6,,,2002-01-08T06:42:08,2002-01-08T18:17:17,Clear,clear-day
choondacherry,09-01-2002,87.9,77.3,82.6,76.5,1.653,100,12.5,rain,,9.2,287.8,1012.2,41.4,,,2002-01-09T06:42:27,2002-01-09T18:17:49,"Rain, Partially cloudy",rain
choondacherry,10-01-2002,87.9,77.1,82.7,69.5,0,0,0,,,9.2,297.2,1012.5,35,,,2002-01-10T06:42:45,2002-01-10T18:18:20,Partially cloudy,partly-cloudy-day
choondacherry,11-01-2002,88.4,75.8,81.7,66.8,0,0,0,,,15,24.7,1011.9,44,,,2002-01-11T06:43:02,2002-01-11T18:18:51,Partially cloudy,partly-cloudy-day
choondacherry,12-01-2002,84.8,77.1,81.6,63.2,0,0,0,,,8.1,280.6,1012.3,55,,,2002-01-12T06:43:18,2002-01-12T18:19:22,Partially cloudy,partly-cloudy-day
choondacherry,13-01-2002,86.3,74,81.7,67.9,0,0,0,,,9.2,263.8,1010.7,7.1,,,2002-01-13T06:43:34,2002-01-13T18:19:53,Clear,clear-day
choondacherry,14-01-2002,83.9,72.8,78.3,69.2,0,0,0,,,5.8,6.5,1010.6,33.3,,,2002-01-14T06:43:48,2002-01-14T18:20:23,Partially cloudy,partly-cloudy-day
choondacherry,15-01-2002,84.5,71.9,79.5,68.4,0,0,0,,,8.1,263.2,1011.7,42.9,,,2002-01-15T06:44:02,2002-01-15T18:20:53,Partially cloudy,partly-cloudy-day
choondacherry,16-01-2002,86.3,71,79.6,66.2,0,0,0,,,9.2,265.5,1011.2,47.8,,,2002-01-16T06:44:14,2002-01-16T18:21:23,Partially cloudy,partly-cloudy-day
choondacherry,17-01-2002,87.2,73.1,80.6,67.7,0,0,0,,,9.2,303.3,1010,15.7,,,2002-01-17T06:44:26,2002-01-17T18:21:52,Clear,clear-day
choondacherry,18-01-2002,83,75.8,80.2,70.5,0,0,0,,,8.1,250,1009.3,50,,,2002-01-18T06:44:36,2002-01-18T18:22:21,Partially cloudy,partly-cloudy-day
choondacherry,19-01-2002,86.1,76.7,81.1,72.3,0,0,0,,,9.2,260,1010.2,47.1,,,2002-01-19T06:44:46,2002-01-19T18:22:49,Partially cloudy,partly-cloudy-day
choondacherry,20-01-2002,84.8,77.3,80.1,75.1,0,0,0,,,9.2,310,1011.3,30,,,2002-01-20T06:44:54,2002-01-20T18:23:17,Partially cloudy,partly-cloudy-day
choondacherry,21-01-2002,86.1,77.1,80.8,75.9,0,0,0,,,9.2,281,1010.6,57.1,,,2002-01-21T06:45:02,2002-01-21T18:23:45,Partially cloudy,partly-cloudy-day
choondacherry,22-01-2002,88.1,77.6,82.4,71,0,0,0,,,10.3,304.2,1010.5,45,,,2002-01-22T06:45:08,2002-01-22T18:24:12,Partially cloudy,partly-cloudy-day
choondacherry,23-01-2002,87.5,79.1,82.2,80.7,0.004,100,4.17,rain,,9.2,290,1011.3,38.6,,,2002-01-23T06:45:14,2002-01-23T18:24:38,"Rain, Partially cloudy",rain
choondacherry,24-01-2002,86.6,78.5,82,78.8,0.008,100,8.33,rain,,11.4,281.1,1012.3,58.3,,,2002-01-24T06:45:19,2002-01-24T18:25:04,"Rain, Partially cloudy",rain
choondacherry,25-01-2002,86.3,77.1,81.5,81.3,0,0,0,,,10.3,287.2,1011.4,45,,,2002-01-25T06:45:22,2002-01-25T18:25:29,Partially cloudy,partly-cloudy-day
choondacherry,26-01-2002,86.3,78.2,82.1,80.7,0,0,0,,,11.4,306.5,1011.7,52.5,,,2002-01-26T06:45:24,2002-01-26T18:25:54,Partially cloudy,partly-cloudy-day
choondacherry,27-01-2002,84.3,79.1,81.6,78.1,0,0,0,,,9.2,320,1011.8,67.1,,,2002-01-27T06:45:26,2002-01-27T18:26:18,Partially cloudy,partly-cloudy-day
choondacherry,28-01-2002,82.7,77.1,79.6,74.3,0,0,0,,,11.4,337.5,1012.6,82.9,,,2002-01-28T06:45:26,2002-01-28T18:26:42,Partially cloudy,partly-cloudy-day
choondacherry,29-01-2002,86.1,74,80.4,73.5,0,0,0,,,24.2,8.3,1013,21.4,,,2002-01-29T06:45:26,2002-01-29T18:27:04,Partially cloudy,partly-cloudy-day
choondacherry,30-01-2002,85.4,75.3,79.7,75.9,0,0,0,,,11.4,323.6,1012.2,38.3,,,2002-01-30T06:45:24,2002-01-30T18:27:27,Partially cloudy,partly-cloudy-day
choondacherry,31-01-2002,87.5,75.3,82.1,67.8,0,0,0,,,9.2,296,1011.4,37.1,,,2002-01-31T06:45:21,2002-01-31T18:27:49,Partially cloudy,partly-cloudy-day
choondacherry,01-02-2002,86.6,79.1,82.1,68.4,0.084,100,12.5,rain,,6.9,33.7,1012,80,,,2002-02-01T06:45:18,2002-02-01T18:28:10,"Rain, Partially cloudy",rain
choondacherry,02-02-2002,87.9,77.1,82.2,67.2,0.056,100,8.33,rain,,11.4,4.8,1011.6,88.6,,,2002-02-02T06:45:13,2002-02-02T18:28:30,"Rain, Partially cloudy",rain
choondacherry,03-02-2002,83.9,79.1,81.8,68.1,0,0,0,,,5.8,35,1011.8,88.6,,,2002-02-03T06:45:07,2002-02-03T18:28:50,Partially cloudy,partly-cloudy-day
choondacherry,04-02-2002,83.6,78.5,80.5,73.7,0,0,0,,,6.9,250,1011.1,48.6,,,2002-02-04T06:45:01,2002-02-04T18:29:09,Partially cloudy,partly-cloudy-day
choondacherry,05-02-2002,89,76.4,82.3,72.3,0,0,0,,,11.2,288.8,1011.6,30,,,2002-02-05T06:44:53,2002-02-05T18:29:28,Partially cloudy,partly-cloudy-day
choondacherry,06-02-2002,87.5,78.9,83.8,70.8,0,0,0,,,22.4,255.8,1011.4,45.7,,,2002-02-06T06:44:44,2002-02-06T18:29:45,Partially cloudy,partly-cloudy-day
choondacherry,07-02-2002,87.2,77.1,81,82.7,1.024,100,8.33,rain,,9.2,270,1011.7,56.7,,,2002-02-07T06:44:35,2002-02-07T18:30:03,"Rain, Partially cloudy",rain
choondacherry,08-02-2002,88.4,77.6,82.1,75.6,0,0,0,,,9.2,235.3,1010.7,61.7,,,2002-02-08T06:44:24,2002-02-08T18:30:19,Partially cloudy,partly-cloudy-day
choondacherry,09-02-2002,88.4,78.9,83.8,72.7,0,0,0,,,11.4,234.9,1011.3,50,,,2002-02-09T06:44:12,2002-02-09T18:30:35,Partially cloudy,partly-cloudy-day
choondacherry,10-02-2002,85.7,78.9,82.1,75.9,0,0,0,,,6.9,259.1,1011,40,,,2002-02-10T06:44:00,2002-02-10T18:30:50,Partially cloudy,partly-cloudy-day
choondacherry,11-02-2002,88.1,75.8,82.5,70.2,0,0,0,,,9.2,270,1011.7,28.6,,,2002-02-11T06:43:46,2002-02-11T18:31:05,Partially cloudy,partly-cloudy-day
choondacherry,12-02-2002,88.4,77.3,82.9,71.4,0,0,0,,,9.2,261.4,1012,35.7,,,2002-02-12T06:43:32,2002-02-12T18:31:19,Partially cloudy,partly-cloudy-day
choondacherry,13-02-2002,89.7,77.6,83.2,68.3,0,0,0,,,11.4,292.4,1012,18.8,,,2002-02-13T06:43:17,2002-02-13T18:31:32,Clear,clear-day
choondacherry,14-02-2002,89,76.7,83,68.9,0,0,0,,,11.4,303,1012.3,20,,,2002-02-14T06:43:01,2002-02-14T18:31:45,Clear,clear-day
choondacherry,15-02-2002,89.7,76.4,82.8,67.7,0,0,0,,,8.1,345.6,1013.1,6,,,2002-02-15T06:42:44,2002-02-15T18:31:57,Clear,clear-day
choondacherry,16-02-2002,87.2,77.6,82.5,75.7,0,0,0,,,11.4,250,1013,18.8,,,2002-02-16T06:42:26,2002-02-16T18:32:08,Clear,clear-day
choondacherry,17-02-2002,87.9,79.1,83.5,70.5,0,0,0,,,11.4,278.3,1013.4,28.6,,,2002-02-17T06:42:07,2002-02-17T18:32:19,Partially cloudy,partly-cloudy-day
choondacherry,18-02-2002,86.6,77.6,81.4,77.9,0,0,0,,,6.9,270,1014.7,15,,,2002-02-18T06:41:48,2002-02-18T18:32:29,Clear,clear-day
choondacherry,19-02-2002,89.3,78.5,83.4,73.1,0,0,0,,,11.4,280,1015.9,27.5,,,2002-02-19T06:41:28,2002-02-19T18:32:39,Partially cloudy,partly-cloudy-day
choondacherry,20-02-2002,89,78.9,83.4,76.2,0,0,0,,,11.4,258.9,1014.9,28.8,,,2002-02-20T06:41:07,2002-02-20T18:32:48,Partially cloudy,partly-cloudy-day
