name,datetime,tempmax,tempmin,temp,humidity,precip,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,uvindex,sunrise,sunset,conditions,icon
choondcherry,01-01-2012,91.4,71.6,79,72.9,0.551,rain,,10.3,111.1,1010,40.8,9,2012-01-01T06:39:22,2012-01-01T18:13:18,"Rain, Partially cloudy",rain
choondcherry,02-01-2012,91.4,64.1,77.6,67.9,0,,,10.3,112.9,1010.4,11.3,9,2012-01-02T06:39:47,2012-01-02T18:13:50,Clear,clear-day
choondcherry,03-01-2012,96.8,66.1,78.3,67.7,0,,,8.1,136.1,1009.7,2.8,9,2012-01-03T06:40:11,2012-01-03T18:14:22,Clear,clear-day
choondcherry,04-01-2012,93.2,68,79.7,71.7,0,,,12.8,161,1010.5,22.3,9,2012-01-04T06:40:34,2012-01-04T18:14:54,Partially cloudy,partly-cloudy-day
choondcherry,05-01-2012,95,71.6,82.1,71.9,0,,,8.5,123,1011.4,46.5,9,2012-01-05T06:40:56,2012-01-05T18:15:26,Partially cloudy,partly-cloudy-day
choondcherry,06-01-2012,95,69.8,80.9,68.5,0,,,9.2,141.7,1012.5,34.4,9,2012-01-06T06:41:18,2012-01-06T18:15:59,Partially cloudy,partly-cloudy-day
choondcherry,07-01-2012,93.2,68,80.1,68.1,0,,,27.9,87.1,1012.8,30.5,8,2012-01-07T06:41:39,2012-01-07T18:16:31,Partially cloudy,partly-cloudy-day
choondcherry,08-01-2012,92.1,68.6,79.8,70.5,0,,,10.3,327.1,1012.6,37.6,9,2012-01-08T06:41:59,2012-01-08T18:17:03,Partially cloudy,partly-cloudy-day
choondcherry,09-01-2012,93.2,73.4,81.9,72.4,0,,,12.3,296.5,1011.8,39.8,9,2012-01-09T06:42:18,2012-01-09T18:17:34,Partially cloudy,partly-cloudy-day
choondcherry,10-01-2012,91.4,73.4,80.8,74.3,0.024,rain,,17.2,237.6,1011.6,48.7,9,2012-01-10T06:42:36,2012-01-10T18:18:06,"Rain, Partially cloudy",rain
choondcherry,11-01-2012,91.4,71.6,80.1,70.1,0.072,rain,,12.8,321.1,1011.3,38.4,8,2012-01-11T06:42:54,2012-01-11T18:18:37,"Rain, Partially cloudy",rain
choondcherry,12-01-2012,93.2,69.3,80,71.6,0.008,rain,,13.9,147.8,1011.3,23.4,9,2012-01-12T06:43:10,2012-01-12T18:19:08,"Rain, Partially cloudy",rain
choondcherry,13-01-2012,93.2,71.6,80.6,68.4,0,,,9.6,4.6,1011.5,24.4,9,2012-01-13T06:43:26,2012-01-13T18:19:39,Partially cloudy,partly-cloudy-day
choondcherry,14-01-2012,92,68.1,79.2,65,0,,,9.6,86,1010.4,13.9,9,2012-01-14T06:43:41,2012-01-14T18:20:09,Clear,clear-day
choondcherry,15-01-2012,91.4,66.5,78,64.2,0,,,11.4,105.8,1009.6,12.4,9,2012-01-15T06:43:55,2012-01-15T18:20:40,Clear,clear-day
choondcherry,16-01-2012,93.2,61.8,76.3,60.7,0,,,9.2,108.9,1008.9,16,9,2012-01-16T06:44:08,2012-01-16T18:21:09,Clear,clear-day
