name,datetime,tempmax,tempmin,temp,humidity,precip,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,uvindex,sunrise,sunset,conditions,icon
choondacherry,2021-01-01 00:00:00,30.9,22.9,26.6,75.5,1.496,rain,10.3,9.2,91.5,1010.4,58.4,8,2021-01-01 06:39:42,2021-01-01 18:13:44,"Rain, Partially cloudy",rain
choondacherry,2021-01-02 00:00:00,33.9,19.9,26.7,68.3,0.0,,11.4,6.9,84.3,1010.3,38.4,9,2021-01-02 06:40:06,2021-01-02 18:14:16,Partially cloudy,partly-cloudy-day
choondacherry,2021-01-03 00:00:00,32.9,22.9,27.4,73.7,0.386,rain,18.3,6.9,97.4,1009.4,51.3,6,2021-01-03 06:40:29,2021-01-03 18:14:48,"Rain, Partially cloudy",rain
choondacherry,2021-01-04 00:00:00,32.9,23.9,27.4,77.1,0.316,rain,16.3,9.2,90.9,1009.5,58.7,6,2021-01-04 06:40:52,2021-01-04 18:15:20,"Rain, Partially cloudy",rain
choondacherry,2021-01-05 00:00:00,32.9,23.9,27.6,76.4,0.016,rain,17.2,9.2,126.2,1010.0,63.7,7,2021-01-05 06:41:14,2021-01-05 18:15:52,"Rain, Partially cloudy",rain
choondacherry,2021-01-06 00:00:00,32.9,23.9,26.6,84.2,0.551,rain,18.3,13.9,18.8,1010.3,59.0,6,2021-01-06 06:41:35,2021-01-06 18:16:24,"Rain, Partially cloudy",rain
choondacherry,2021-01-07 00:00:00,32.9,23.9,27.0,84.4,0.118,rain,13.0,11.4,146.1,1008.7,71.4,7,2021-01-07 06:41:55,2021-01-07 18:16:56,"Rain, Partially cloudy",rain
choondacherry,2021-01-08 00:00:00,31.9,23.9,26.8,86.3,1.378,rain,16.1,9.2,60.8,1008.5,75.5,7,2021-01-08 06:42:14,2021-01-08 18:17:28,"Rain, Partially cloudy",rain
choondacherry,2021-01-09 00:00:00,30.9,23.4,26.6,85.7,0.354,rain,16.6,8.1,63.0,1008.6,83.9,6,2021-01-09 06:42:33,2021-01-09 18:18:00,"Rain, Partially cloudy",rain
choondacherry,2021-01-10 00:00:00,31.9,24.9,27.2,83.4,0.394,rain,13.6,8.1,179.6,1009.5,68.7,5,2021-01-10 06:42:50,2021-01-10 18:18:31,"Rain, Partially cloudy",rain
