name,datetime,tempmax,tempmin,temp,humidity,precip,preciptype,windgust,windspeed,winddir,sealevelpressure,cloudcover,uvindex,sunrise,sunset,conditions,icon
choondacherry,2000-01-01 00:00:00,32.1,23.2,27.4,65.2,0.0,,,6.9,354.8,1010.0,10.0,,2000-01-01 06:39:21,2000-01-01 18:13:16,Clear,clear-day
choondacherry,2000-01-02 00:00:00,31.2,21.8,26.7,67.1,0.0,,,9.2,317.9,1010.7,34.0,,2000-01-02 06:39:46,2000-01-02 18:13:48,Partially cloudy,partly-cloudy-day
choondacherry,2000-01-03 00:00:00,30.3,23.1,27.1,73.9,0.0,,,9.2,293.2,1009.1,25.0,,2000-01-03 06:40:10,2000-01-03 18:14:20,Partially cloudy,partly-cloudy-day
choondacherry,2000-01-04 00:00:00,31.2,25.1,28.5,69.1,0.0,,,11.4,283.4,1008.9,33.3,,2000-01-04 06:40:33,2000-01-04 18:14:52,Partially cloudy,partly-cloudy-day
choondacherry,2000-01-05 00:00:00,31.1,24.2,28.1,70.6,0.0,,,11.4,305.8,1008.9,17.1,,2000-01-05 06:40:55,2000-01-05 18:15:25,Clear,clear-day
choondacherry,2000-01-06 00:00:00,31.1,24.2,28.0,74.9,0.0,,,9.2,290.0,1009.6,28.0,,2000-01-06 06:41:17,2000-01-06 18:15:57,Partially cloudy,partly-cloudy-day
choondacherry,2000-01-07 00:00:00,32.1,24.3,28.6,69.5,0.264,rain,,6.9,11.5,1008.9,55.7,,2000-01-07 06:41:38,2000-01-07 18:16:29,"Rain, Partially cloudy",rain
choondacherry,2000-01-08 00:00:00,30.3,24.3,27.7,73.2,0.236,rain,,9.2,70.0,1009.1,64.0,,2000-01-08 06:41:58,2000-01-08 18:17:01,"Rain, Partially cloudy",rain
choondacherry,2000-01-09 00:00:00,30.2,25.8,27.5,74.0,0.0,,,9.2,258.6,1008.7,68.0,,2000-01-09 06:42:17,2000-01-09 18:17:32,Partially cloudy,partly-cloudy-day
choondacherry,2000-01-10 00:00:00,32.1,25.2,28.6,72.3,0.0,,,6.9,260.0,1008.8,62.9,,2000-01-10 06:42:36,2000-01-10 18:18:04,Partially cloudy,partly-cloudy-day
choondacherry,2000-01-11 00:00:00,32.1,25.2,28.0,74.3,0.0,,,9.2,71.7,1009.5,54.0,,2000-01-11 06:42:53,2000-01-11 18:18:35,Partially cloudy,partly-cloudy-day
choondacherry,2000-01-12 00:00:00,32.3,27.1,29.7,62.2,0.012,rain,,6.9,235.0,1010.3,43.3,,2000-01-12 06:43:10,2000-01-12 18:19:06,"Rain, Partially cloudy",rain
choondacherry,2000-01-13 00:00:00,29.1,24.1,27.1,81.1,0.721,rain,,9.2,274.2,1010.0,57.1,,2000-01-13 06:43:26,2000-01-13 18:19:37,"Rain, Partially cloudy",rain
choondacherry,2000-01-14 00:00:00,30.2,25.7,27.6,83.5,0.0,,,9.2,215.0,1010.2,66.7,,2000-01-14 06:43:41,2000-01-14 18:20:08,Partially cloudy,partly-cloudy-day
choondacherry,2000-01-15 00:00:00,31.3,25.1,27.9,80.1,0.0,,,11.4,300.2,1009.4,45.7,,2000-01-15 06:43:54,2000-01-15 18:20:38,Partially cloudy,partly-cloudy-day
choondacherry,2000-01-16 00:00:00,31.1,25.7,28.3,78.2,0.0,,,9.2,275.4,1009.4,33.3,,2000-01-16 06:44:07,2000-01-16 18:21:08,Partially cloudy,partly-cloudy-day
choondacherry,2000-01-17 00:00:00,30.2,26.1,28.0,76.9,0.056,rain,,9.2,290.0,1011.4,62.0,,2000-01-17 06:44:20,2000-01-17 18:21:37,"Rain, Partially cloudy",rain
choondacherry,2000-01-18 00:00:00,31.7,25.7,28.7,64.9,0.0,,,11.4,291.8,1012.7,21.7,,2000-01-18 06:44:31,2000-01-18 18:22:06,Partially cloudy,partly-cloudy-day
choondacherry,2000-01-19 00:00:00,32.7,24.7,28.8,61.7,0.0,,,6.9,280.0,1011.7,1.7,,2000-01-19 06:44:41,2000-01-19 18:22:35,Clear,clear-day
choondacherry,2000-01-20 00:00:00,31.2,22.3,27.4,70.1,0.0,,,9.2,278.0,1011.1,10.0,,2000-01-20 06:44:50,2000-01-20 18:23:03,Clear,clear-day
choondacherry,2000-01-21 00:00:00,29.7,24.2,27.3,79.0,0.0,,,11.4,268.3,1012.4,11.4,,2000-01-21 06:44:58,2000-01-21 18:23:30,Clear,clear-day
choondacherry,2000-01-22 00:00:00,29.7,25.1,28.0,75.2,0.0,,,9.2,283.0,1012.8,28.0,,2000-01-22 06:45:05,2000-01-22 18:23:58,Partially cloudy,partly-cloudy-day
choondacherry,2000-01-23 00:00:00,30.1,24.2,27.6,76.6,0.0,,,9.2,250.0,1012.3,30.0,,2000-01-23 06:45:11,2000-01-23 18:24:24,Partially cloudy,partly-cloudy-day
choondacherry,2000-01-24 00:00:00,30.1,24.2,26.4,82.0,0.0,,,9.2,296.1,1013.2,36.0,,2000-01-24 06:45:16,2000-01-24 18:24:50,Partially cloudy,partly-cloudy-day
choondacherry,2000-01-25 00:00:00,30.8,25.7,28.4,69.7,0.0,,,11.4,302.6,1012.6,31.7,,2000-01-25 06:45:20,2000-01-25 18:25:16,Partially cloudy,partly-cloudy-day
choondacherry,2000-01-26 00:00:00,31.8,25.1,28.7,59.3,0.0,,,9.2,181.4,1012.8,26.7,,2000-01-26 06:45:23,2000-01-26 18:25:41,Partially cloudy,partly-cloudy-day
choondacherry,2000-01-27 00:00:00,30.8,22.1,26.7,62.5,0.0,,,9.2,313.5,1012.0,18.3,,2000-01-27 06:45:25,2000-01-27 18:26:05,Clear,clear-day
choondacherry,2000-01-28 00:00:00,30.8,22.3,26.1,74.1,0.0,,,11.4,270.0,1011.2,20.0,,2000-01-28 06:45:26,2000-01-28 18:26:29,Clear,clear-day
